VoiceClip_No,TextTranscript,label,processed_content
Voice50,two slt connections name want disconnect one inform,Non,two slt connections name want disconnect one inform
Voice66,already made complaint change name addresses,Non,already made complaint change name addresses
Voice38,internet speed much slower end increase speed,Non,internet speed much slower end increase speed
Voice202,already made complaint change name addresses,Non,already made complaint change name addresses
Voice225,landline phone working,Non,landline phone working
Voice26,remote buttons need fixed please help use remote without issues,Non,remote buttons need fixed please help use remote without issues
Voice201,poor signal months many occasions customer care resolved yet,Non,poor signal months many occasions customer care resolved yet
Voice2,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice70,want change using myslt,Non,want change using myslt
Voice269,possibly disconnection due loss made late made payment,Non,possibly disconnection due loss made late made payment
Voice269,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
Voice159,indicated one light working earlier bulbs working one bulb working,Non,indicated one light working earlier bulbs working one bulb working
Voice189,router connecting know reason connecting,Non,router connecting know reason connecting
Voice71,settled balance today still get confirmation know,Non,settled balance today still get confirmation know
Voice23,settled balance today still get confirmation know,Non,settled balance today still get confirmation know
Voice73,received late payment paid check issue,Non,received late payment paid check issue
Voice95,phone number billing date today tommorrow onwards need migrate unlimited day flash,Non,phone number billing date today tommorrow onwards need migrate unlimited day flash
Voice212,need breakdown charges,Non,need breakdown charges
Voice30,want check home give number tell,Non,want check home give number tell
Voice25,please add,Non,please add
Voice1,noises coming internet,Non,noises coming internet
Voice165,would like add also want upgarde internert package,Non,would like add also want upgarde internert package
Voice64,check remaning amount day time,Non,check remaning amount day time
Voice80,know overcharged last,Non,know overcharged last
Voice245,get working,Non,get working
Voice266,able add number calling right,Non,able add number calling right
Voice40,made complaints last still one attending resolved still noises internet,Non,made complaints last still one attending resolved still noises internet
Voice71,would like add also want upgarde internert package,Non,would like add also want upgarde internert package
Voice 45,two slt connections name want disconnect one inform,Non,two slt connections name want disconnect one inform
Voice24,technician issue still next,Non,technician issue still next
Voice44,know much minimum pay get back connection back,Non,know much minimum pay get back connection back
Voice160,los light blinking red color router got days back know reason number,Non,los light blinking red color router got days back know reason number
Voice66,phone technician check phone,Non,phone technician check phone
Voice266,made complaint regarding internet connection still get reply sideso please check whether,Non,made complaint regarding internet connection still get reply sideso please check whether
Voice269,give number tell,Non,give number tell
Voice23,internet slt tell,Non,internet slt tell
Voice117,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance,Non,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance
Voice104,wanted express concern recent service technician seemed unsure problem arrange another visit,Non,wanted express concern recent service technician seemed unsure problem arrange another visit
Voice237,internet speed much slower end increase speed,Non,internet speed much slower end increase speed
Voice178,got message pay arrears october otherwise line disconnected tell amount,Non,got message pay arrears october otherwise line disconnected tell amount
Voice20,give number tell,Non,give number tell
Voice119,possibly disconnection due loss made late made payment,Non,possibly disconnection due loss made late made payment
Voice163,really good services given slt maradana branch went got work done,Non,really good services given slt maradana branch went got work done
Voice104,already made complaint change name addresses,Non,already made complaint change name addresses
Voice159,internet slt tell,Non,internet slt tell
Voice78,technician issue still next,Non,technician issue still next
Voice134,want check whether made router payment 9th november cause checked november bill payment got,Non,want check whether made router payment 9th november cause checked november bill payment got
Voice108,much pay reactivate connection,Non,much pay reactivate connection
Voice47,would like add tell much used peak,Non,would like add tell much used peak
Voice223,made complaints last still one attending resolved still noises internet,Non,made complaints last still one attending resolved still noises internet
Voice127,want shift another data package one using right enough request change package,Non,want shift another data package one using right enough request change package
Voice30,bill showing charges service never check charges,Non,bill showing charges service never check charges
Voice105,landline phone working,Non,landline phone working
Voice238,billing portal displaying recent,Non,billing portal displaying recent
Voice165,light lights others,Non,light lights others
Voice121,wifi working technically check anything,Non,wifi working technically check anything
Voice243,wifi working technically check anything,Non,wifi working technically check anything
Voice68,check oustanding balance number,Non,check oustanding balance number
Voice111,check tell balance,Non,check tell balance
Voice165,noticed incorrect charge review correct need,Non,noticed incorrect charge review correct need
Voice208,check oustanding balance number,Non,check oustanding balance number
Voice160,need breakdown charges,Non,need breakdown charges
Voice160,check oustanding balance number,Non,check oustanding balance number
Voice265,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone,Non,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone
Voice88,need clarification recent service still,Non,need clarification recent service still
Voice1,please add,Non,please add
Voice216,stuck bad internet connection broken,Non,stuck bad internet connection broken
Voice68,internet connection using right really slow speed connection,Non,internet connection using right really slow speed connection
Voice204,observed increase seeking clarification additional,Non,observed increase seeking clarification additional
Voice208,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone,Non,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone
Voice83,would like add tell much used peak,Non,would like add tell much used peak
Voice59,line disconnected due arrears payment paid full reconnected line,Non,line disconnected due arrears payment paid full reconnected line
Voice19,phone technician check phone,Non,phone technician check phone
Voice105,need breakdown charges,Non,need breakdown charges
Voice41,bill showing charges service never check charges,Non,bill showing charges service never check charges
Voice55,want internet peo working long approximately,Non,want internet peo working long approximately
Voice99,bill showing charges service never check charges,Non,bill showing charges service never check charges
Voice77,phone got disconnected late resolve connection back,Non,phone got disconnected late resolve connection back
Voice126,two slt connections name want disconnect one inform,Non,two slt connections name want disconnect one inform
Voice204,noticed incorrect charge review correct need,Non,noticed incorrect charge review correct need
Voice108,wish sign prepaid billing assist enrollment process provide details features,Non,wish sign prepaid billing assist enrollment process provide details features
voice33,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice68,checked payment bank receipt found router account number put additional digits may gone give,Non,checked payment bank receipt found router account number put additional digits may gone give
Voice189,number registered,Non,number registered
Voice163,stuck bad internet connection broken,Non,stuck bad internet connection broken
Voice77,receive bill,Non,receive bill
Voice59,details fiber,Non,details fiber
Voice1,want increase increase thespeed upload fiber reconnect,Non,want increase increase thespeed upload fiber reconnect
Voice2,want know whether charged dialing free whenever happen dial number charges made,Non,want know whether charged dialing free whenever happen dial number charges made
Voice5,check tell balance,Non,check tell balance
Voice6,want log complaint internet potv red color indicator appearing reason behind,Non,want log complaint internet potv red color indicator appearing reason behind
Voice7,would like add tell much used peak,Non,would like add tell much used peak
Voice8,los light blinking red color router got days back know reason number,Non,los light blinking red color router got days back know reason number
voice10,know much minimum pay get back connection back,Non,know much minimum pay get back connection back
voice11,want check available network seems slowed,Non,want check available network seems slowed
voice12,got line shifted shifted house colombo got telephone line working want know working,Non,got line shifted shifted house colombo got telephone line working want know working
voice14,regarding two one phone one fiber laid electrical stuck hanging electrical,Non,regarding two one phone one fiber laid electrical stuck hanging electrical
voice15,made complaint regarding internet connection still get reply sideso please check whether,Non,made complaint regarding internet connection still get reply sideso please check whether
Voice16,landline working name,Non,landline working name
Voice17,phone number billing date today tommorrow onwards need migrate unlimited day flash,Non,phone number billing date today tommorrow onwards need migrate unlimited day flash
Voice19,problem online payment trying morning says,Non,problem online payment trying morning says
Voice20,want check whether made router payment 9th november cause checked november bill payment got,Non,want check whether made router payment 9th november cause checked november bill payment got
Voice23,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay,Non,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay
Voice24,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice25,made complaints last still one attending resolved still noises internet,Non,made complaints last still one attending resolved still noises internet
Voice26,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone,Non,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone
Voice30,today payment get message regarding payment done usually pay come today,Non,today payment get message regarding payment done usually pay come today
Voice31,today think lightning connection got technician check phone,Non,today think lightning connection got technician check phone
Voice32,know much used also pricing,Non,know much used also pricing
voice33,please add,Non,please add
Voice34,problem connection two lights others power button working button mean light telephone line also connected router,Non,problem connection two lights others power button working button mean light telephone line also connected router
Voice38,bill showing charges service never check charges,Non,bill showing charges service never check charges
Voice40,check remaning amount day time,Non,check remaning amount day time
Voice41,problem help,Non,problem help
Voice44,technician issue still next,Non,technician issue still next
Voice 45,want shift another data package one using right enough request change package,Non,want shift another data package one using right enough request change package
Voice47,know overcharged last,Non,know overcharged last
Voice49,adsl connection upgrade fiber optic could please tell process,Non,adsl connection upgrade fiber optic could please tell process
Voice50,need clarification recent service still,Non,need clarification recent service still
Voice52,would like add also want upgarde internert package,Non,would like add also want upgarde internert package
Voice53,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice54,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
Voice55,observed increase seeking clarification additional,Non,observed increase seeking clarification additional
Voice58,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance,Non,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance
Voice59,wanted express concern recent service technician seemed unsure problem arrange another visit,Non,wanted express concern recent service technician seemed unsure problem arrange another visit
Voice62,internet connection using right really slow speed connection,Non,internet connection using right really slow speed connection
Voice64,settled balance usually get sms paid check resolve whether done payment,Non,settled balance usually get sms paid check resolve whether done payment
Voice66,phone got disconnected late resolve connection back,Non,phone got disconnected late resolve connection back
Voice68,check oustanding balance number,Non,check oustanding balance number
Voice70,activate meet max package know much data given also price charged package,Non,activate meet max package know much data given also price charged package
Voice71,interested internet provide details,Non,interested internet provide details
Voice73,recently moved colombo update address changes needed billing information,Non,recently moved colombo update address changes needed billing information
Voice75,noticed incorrect charge review correct need,Non,noticed incorrect charge review correct need
Voice77,connection disconnected got late payment today long take reactivate really urgent get connection back online exam,Non,connection disconnected got late payment today long take reactivate really urgent get connection back online exam
Voice78,activate connection,Non,activate connection
Voice80,know get physical bills anymore,Non,know get physical bills anymore
Voice83,remote buttons need fixed please help use remote without issues,Non,remote buttons need fixed please help use remote without issues
Voice84,wish sign prepaid billing assist enrollment process provide details features,Non,wish sign prepaid billing assist enrollment process provide details features
Voice87,facing difficulty accessing online billing could please assist solving issue,Non,facing difficulty accessing online billing could please assist solving issue
Voice88,problem help,Non,problem help
Voice90,bill showing charges premium service,Non,bill showing charges premium service
Voice95,received late payment paid check issue,Non,received late payment paid check issue
Voice98,know remaning peak,Non,know remaning peak
Voice99,landline phone working,Non,landline phone working
 Voice101                      ,need breakdown charges,Non,need breakdown charges
Voice104,bill sent wrong,Non,bill sent wrong
Voice105,router connecting know reason connecting,Non,router connecting know reason connecting
Voice108,internet speed much slower end increase speed,Non,internet speed much slower end increase speed
Voice111,receive bill,Non,receive bill
Voice114,much pay reactivate connection,Non,much pay reactivate connection
Voice116,two slt connections name want disconnect one inform,Non,two slt connections name want disconnect one inform
Voice117,interested fiber optic provide information packages offer,Non,interested fiber optic provide information packages offer
Voice119,checked payment bank receipt found router account number put additional digits may gone give,Non,checked payment bank receipt found router account number put additional digits may gone give
Voice120,made complaint regarding internet connection still get reply please check whether,Non,made complaint regarding internet connection still get reply please check whether
Voice121,get text message saying much due pay something like want get bill make,Non,get text message saying much due pay something like want get bill make
Voice126,got message pay arrears october otherwise line disconnected tell amount,Non,got message pay arrears october otherwise line disconnected tell amount
Voice127,want know difference monthly charge payable,Non,want know difference monthly charge payable
Voice129,want check home give number tell,Non,want check home give number tell
Voice131,number registered,Non,number registered
Voice132,give number tell,Non,give number tell
Voice134,want change using myslt,Non,want change using myslt
Voice139,want internet peo working long approximately,Non,want internet peo working long approximately
Voice142,get bill email regularly,Non,get bill email regularly
Voice145,billing portal displaying recent,Non,billing portal displaying recent
Voice149,need receipt last,Non,need receipt last
Voice155,add,Non,add
Voice157,agent follow issue reported previous could kindly tell report,Non,agent follow issue reported previous could kindly tell report
Voice159,noises coming internet,Non,noises coming internet
Voice160,get text message saying much due pay something like want get bill make,Non,get text message saying much due pay something like want get bill make
Voice162,need know payabale amount,Non,need know payabale amount
Voice163,indicated one light working earlier bulbs working one bulb working,Non,indicated one light working earlier bulbs working one bulb working
Voice165,get working,Non,get working
Voice173,stuck bad internet connection broken,Non,stuck bad internet connection broken
Voice178,experience agent responded positively clarifications,Non,experience agent responded positively clarifications
Voice188,already made complaint change name addresses,Non,already made complaint change name addresses
Voice189,phone technician check phone,Non,phone technician check phone
Voice190,wifi working technically check anything,Non,wifi working technically check anything
Voice199,line disconnected due arrears payment paid full reconnected line,Non,line disconnected due arrears payment paid full reconnected line
Voice201,change packages anytime using,Non,change packages anytime using
Voice202,possibly disconnection due loss made late made payment,Non,possibly disconnection due loss made late made payment
Voice203,want know whether router,Non,want know whether router
Voice204,always reconnect issue,Non,always reconnect issue
Voice208,really good services given slt maradana branch went got work done,Non,really good services given slt maradana branch went got work done
Voice212,waiting line since september almost bad customer get,Non,waiting line since september almost bad customer get
Voice216,peo sports channels,Non,peo sports channels
Voice223,know amount pay month decemeber november,Non,know amount pay month decemeber november
Voice224,sometimes get delay getting response,Non,sometimes get delay getting response
Voice225,actually today think lightning connection got,Non,actually today think lightning connection got
Voice226,internet slt tell,Non,internet slt tell
Voice232,details fiber,Non,details fiber
Voice233,wifi connection peo stopped working since last send someone check,Non,wifi connection peo stopped working since last send someone check
Voice237,settled balance today still get confirmation know,Non,settled balance today still get confirmation know
Voice238,loss signal blinking red lights,Non,loss signal blinking red lights
Voice240,wifi need technical officer extremely,Non,wifi need technical officer extremely
Voice243,could please give solution speedup wifi,Non,could please give solution speedup wifi
Voice245,want add data entertainmet,Non,want add data entertainmet
Voice246,poor signal months many occasions customer care resolved yet,Non,poor signal months many occasions customer care resolved yet
Voice249,light lights others,Non,light lights others
Voice265,able add number calling right,Non,able add number calling right
Voice266,know current price fiber connection,Non,know current price fiber connection
Voice269,want change address monthly bill sent,Non,want change address monthly bill sent
Voice1,want increase increase thespeed upload fiber reconnect,Non,want increase increase thespeed upload fiber reconnect
Voice2,want know whether charged dialing free whenever happen dial number charges made,Non,want know whether charged dialing free whenever happen dial number charges made
Voice5,check tell balance,Non,check tell balance
Voice48,one responds appropriate take action complaints faults,Agg,one responds appropriate take action complaints faults
Voice56,even answer phone either keeps ringing line busy especially lunch bunch pathetic customer support,Agg,even answer phone either keeps ringing line busy especially lunch bunch pathetic customer support
Voice164,internet person talked need better people lose fix internet find someone disconnecting slt services,Agg,internet person talked need better people lose fix internet find someone disconnecting slt services
Voice241,call dropped repeatedly conversation fix lousy service,Agg,call dropped repeatedly conversation fix lousy service
Voice28,takes forever get done simplest employees respect duty,Agg,takes forever get done simplest employees respect duty
Voice230,poor customer service ineffective telecommunications customer service ever,Agg,poor customer service ineffective telecommunications customer service ever
Voice146,single day went without issues obtaining new fiber connection guys usually call tens hundreds times get technical team come fix youn take idiots contact call center,Agg,single day went without issues obtaining new fiber connection guys usually call tens hundreds times get technical team come fix youn take idiots contact call center
Voice171,agent unable guide process updating personal,Agg,agent unable guide process updating personal
Voice239,poor customer service ineffective telecommunications customer service ever,Agg,poor customer service ineffective telecommunications customer service ever
Voice115,automated fault complain hotline wait least mins get contact call center even give little customer service absolutely would recommend anyone,Agg,automated fault complain hotline wait least mins get contact call center even give little customer service absolutely would recommend anyone
Voice169,guys always tell complain recoreded mad complain service another telecomunication check properly,Agg,guys always tell complain recoreded mad complain service another telecomunication check properly
Voice252,made complaints last still one attending resolved please get done expect better services,Agg,made complaints last still one attending resolved please get done expect better services
Voice211,worst service customer care even listening wasting time,Agg,worst service customer care even listening wasting time
Voice236,fed unreliable service billing canceling,Agg,fed unreliable service billing canceling
Voice43,line inactive matara office pick cut urgent complaint unacceptable,Agg,line inactive matara office pick cut urgent complaint unacceptable
Voice197,poor service telephone contact technical,Agg,poor service telephone contact technical
Voice184,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys,Agg,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys
Voice262,slt used best service provider telecommunication robbing people unwanted subscription fees,Agg,slt used best service provider telecommunication robbing people unwanted subscription fees
Voice102,customer care technical support takes service good though,Agg,customer care technical support takes service good though
Voice153,got fibre connection slt march soon got fixed router los started blinking made first complain march end since every single day calling slt 24th may even single technician contacted fix worse services called best telecommunication company sri lanka,Agg,got fibre connection slt march soon got fixed router los started blinking made first complain march end since every single day calling slt 24th may even single technician contacted fix worse services called best telecommunication company sri lanka
voice13,agent unable guide process updating personal,Agg,agent unable guide process updating personal
Voice207,service consistently constant outages slow frustrated considering switching process disconnect service,Agg,service consistently constant outages slow frustrated considering switching process disconnect service
Voice110,want disconnect slt line cause calling past days telling internet connection working none attended problem usless slt services,Agg,want disconnect slt line cause calling past days telling internet connection working none attended problem usless slt services
Voice60,worst service customer care even listening wasting time,Agg,worst service customer care even listening wasting time
Voice213,requesting fiber connection past even though location slt fulfill request,Agg,requesting fiber connection past even though location slt fulfill request
Voice186,fed billing hard copy want lame text fix billing mess,Agg,fed billing hard copy want lame text fix billing mess
Voice242,patience running internet outages every paying tolerate really disappointed,Agg,patience running internet outages every paying tolerate really disappointed
Voice227,unfortunately one sri lanka telecom answer customers phone branches also head disappointed,Agg,unfortunately one sri lanka telecom answer customers phone branches also head disappointed
Voice60,automated fault complain hotline wait least mins get contact call center even give little customer service absolutely would recommend anyone,Agg,automated fault complain hotline wait least mins get contact call center even give little customer service absolutely would recommend anyone
Voice183,got red lights router complaning action tolerate get act together restore service demand urgent resolution,Agg,got red lights router complaning action tolerate get act together restore service demand urgent resolution
Voice174,start right lose enough,Agg,start right lose enough
Voice195,words explain bad company issue router didnt access data througout time pay couldnt fix issue time dozen option else continue keep paying month data,Agg,words explain bad company issue router didnt access data througout time pay couldnt fix issue time dozen option else continue keep paying month data
Voice79,got red lights router complaning action tolerate get act together restore service demand urgent resolution,Agg,got red lights router complaning action tolerate get act together restore service demand urgent resolution
Voice156,1212 hotline takes ages answer got work cant holding phone forever,Agg,1212 hotline takes ages answer got work cant holding phone forever
Voice72,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses,Agg,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses
Voice259,made complain regarding fiber connction last week calling past three,Agg,made complain regarding fiber connction last week calling past three
Voice28,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys,Agg,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys
Voice74,call center agents takes ages answer phone call stay line think jobless people like,Agg,call center agents takes ages answer phone call stay line think jobless people like
Voice81,bullshit talking paid say payment,Agg,bullshit talking paid say payment
Voice156,representative unprofessional agents talk customers poliety,Agg,representative unprofessional agents talk customers poliety
Voice43,worst customer service since three months even sort simple technical accountability professionalism,Agg,worst customer service since three months even sort simple technical accountability professionalism
Voice81,charged internet peo sudden never neither router neither see connection,Agg,charged internet peo sudden never neither router neither see connection
Voice148,made complaint today get calls guys technical issues working home need internet need get done urgently,Agg,made complaint today get calls guys technical issues working home need internet need get done urgently
Voice60,worst service returning slow internet speed transparency data peo connection also worst cable service provider ever,Agg,worst service returning slow internet speed transparency data peo connection also worst cable service provider ever
Voice137,automated fault complain hotline wait least mins get contact call center even give little customer service absolutely would recommend anyone,Agg,automated fault complain hotline wait least mins get contact call center even give little customer service absolutely would recommend anyone
Voice211,contact 1212 useless automated chat service horrible,Agg,contact 1212 useless automated chat service horrible
Voice255,experienced poor customer service first time slt reported router fault customer technician called didnt turn complaint closed resolving,Agg,experienced poor customer service first time slt reported router fault customer technician called didnt turn complaint closed resolving
Voice181,made complaints last still one attending resolved please get done expect better services,Agg,made complaints last still one attending resolved please get done expect better services
Voice113,tired support,Agg,tired support
Voice43,got customer care number made complaint days response,Agg,got customer care number made complaint days response
Voice21,please tell urgent running business want solve connection today,Agg,please tell urgent running business want solve connection today
Voice69,worst customer service provided called contact number agent kotte branch given maharagama make compliant since response refund request made 21st november 2023 8th january informed made request refund still,Agg,worst customer service provided called contact number agent kotte branch given maharagama make compliant since response refund request made 21st november 2023 8th january informed made request refund still
Voice206,purpose guys mentioned contact one answering,Agg,purpose guys mentioned contact one answering
Voice81,switching provider values customers since service acceptable,Agg,switching provider values customers since service acceptable
Voice196,one responds appropriate take action complaints faults,Agg,one responds appropriate take action complaints faults
Voice167,even answer phone either keeps ringing line busy especially lunch bunch pathetic customer support,Agg,even answer phone either keeps ringing line busy especially lunch bunch pathetic customer support
Voice9,worst customer service doesnt respond complaints tech filed complaints issue last month still fixed given responses,Agg,worst customer service doesnt respond complaints tech filed complaints issue last month still fixed given responses
Voice150,wifi working without cannot using mobile data right lot meetings need inform team come soon possible,Agg,wifi working without cannot using mobile data right lot meetings need inform team come soon possible
Voice257,line inactive matara office pick cut urgent complaint unacceptable,Agg,line inactive matara office pick cut urgent complaint unacceptable
Voice171,staff enough provide good problems due system takes long time get even simple thing,Agg,staff enough provide good problems due system takes long time get even simple thing
Voice193,worst service customer care even listening wasting time,Agg,worst service customer care even listening wasting time
Voice51,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys,Agg,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys
Voice122,fed billing hard copy want lame text fix billing mess,Agg,fed billing hard copy want lame text fix billing mess
Voice109,services provided worse government internet breaks technical team works 9am issues time 5pm wait whole day get,Agg,services provided worse government internet breaks technical team works 9am issues time 5pm wait whole day get
Voice110,called customer service 2nd december 2020 number mentioned gentleman answered phone rude help clarify bad customer,Agg,called customer service 2nd december 2020 number mentioned gentleman answered phone rude help clarify bad customer
Voice85,never answer phone none numbers working asked customer service number say neither another way regret getting slt,Agg,never answer phone none numbers working asked customer service number say neither another way regret getting slt
Voice236,people get delay giving response office waiting minutes connected far possible try conduct early possible really good everybody,Agg,people get delay giving response office waiting minutes connected far possible try conduct early possible really good everybody
Voice171,really disappointed service nearly 2months requested fiber connection still,Agg,really disappointed service nearly 2months requested fiber connection still
Voice51,guys always tell complain recoreded mad complain service another telecomunication check properly,Agg,guys always tell complain recoreded mad complain service another telecomunication check properly
Voice222,fed billing hard copy want lame text fix billing mess,Agg,fed billing hard copy want lame text fix billing mess
Voice92,worst customer service ever hotline numbers always,Agg,worst customer service ever hotline numbers always
Voice39,pay big big amounts service get want fix issue soon,Agg,pay big big amounts service get want fix issue soon
Voice179,worst customer service provided called contact number agent kotte branch given maharagama make compliant since response refund request made 21st november 2023 8th january informed made request refund still,Agg,worst customer service provided called contact number agent kotte branch given maharagama make compliant since response refund request made 21st november 2023 8th january informed made request refund still
Voice217,received bill line canceled last make sure update system cancellation wont getting bills,Agg,received bill line canceled last make sure update system cancellation wont getting bills
Voice193,never answer phone none numbers working asked customer service number say neither another way regret getting slt,Agg,never answer phone none numbers working asked customer service number say neither another way regret getting slt
Voice256,tried contact 1212 last one isnt place paying even call complaints,Agg,tried contact 1212 last one isnt place paying even call complaints
Voice253,worst service returning slow internet speed transparency data peo connection also worst cable service provider ever,Agg,worst service returning slow internet speed transparency data peo connection also worst cable service provider ever
Voice106,charged internet peo sudden never neither router neither see connection,Agg,charged internet peo sudden never neither router neither see connection
Voice214,new fibre line connected numbers paid tried several times contact business suffers due worst service provided slt,Agg,new fibre line connected numbers paid tried several times contact business suffers due worst service provided slt
Voice51,people hold,Agg,people hold
