VoiceClip_No,TextTranscript,label,processed_content
Voice38,want log complaint internet potv red color indicator appearing reason behind,Non,want log complaint internet potv red color indicator appearing reason behind
Voice 45,peo sports channels,Non,peo sports channels
Voice204,connection disconnected got late payment today long take reactivate really urgent get connection back online exam,Non,connection disconnected got late payment today long take reactivate really urgent get connection back online exam
Voice155,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
Voice59,waiting line since september almost bad customer get,Non,waiting line since september almost bad customer get
Voice134,want log complaint internet potv red color indicator appearing reason behind,Non,want log complaint internet potv red color indicator appearing reason behind
Voice87,know current price fiber connection,Non,know current price fiber connection
Voice19,know remaning peak,Non,know remaning peak
Voice199,know get physical bills anymore,Non,know get physical bills anymore
Voice121,much pay reactivate connection,Non,much pay reactivate connection
Voice20,need receipt last,Non,need receipt last
Voice24,observed increase seeking clarification additional,Non,observed increase seeking clarification additional
voice10,loss signal blinking red lights,Non,loss signal blinking red lights
Voice26,get working,Non,get working
voice10,internet speed much slower end increase speed,Non,internet speed much slower end increase speed
Voice25,noticed incorrect charge review correct need,Non,noticed incorrect charge review correct need
voice11,already made complaint change name addresses,Non,already made complaint change name addresses
Voice55,phone technician check phone,Non,phone technician check phone
voice33,wanted express concern recent service technician seemed unsure problem arrange another visit,Non,wanted express concern recent service technician seemed unsure problem arrange another visit
Voice203,light lights others,Non,light lights others
Voice121,get text message saying much due pay something like want get bill make,Non,get text message saying much due pay something like want get bill make
Voice129,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice8,already made complaint change name addresses,Non,already made complaint change name addresses
Voice249,today think lightning connection got technician check phone,Non,today think lightning connection got technician check phone
Voice25,noises coming internet,Non,noises coming internet
Voice32,get text message saying much due pay something like want get bill make,Non,get text message saying much due pay something like want get bill make
Voice71,made complaint regarding internet connection still get reply sideso please check whether,Non,made complaint regarding internet connection still get reply sideso please check whether
Voice52,know much used also pricing,Non,know much used also pricing
Voice126,agent follow issue reported previous could kindly tell report,Non,agent follow issue reported previous could kindly tell report
Voice64,know much minimum pay get back connection back,Non,know much minimum pay get back connection back
Voice26,technician issue still next,Non,technician issue still next
Voice68,internet slt tell,Non,internet slt tell
Voice160,want change address monthly bill sent,Non,want change address monthly bill sent
Voice117,need know payabale amount,Non,need know payabale amount
Voice159,recently moved colombo update address changes needed billing information,Non,recently moved colombo update address changes needed billing information
Voice7,wifi need technical officer extremely,Non,wifi need technical officer extremely
Voice188,want know difference monthly charge payable,Non,want know difference monthly charge payable
Voice64,please add,Non,please add
Voice116,need breakdown charges,Non,need breakdown charges
Voice68,possibly disconnection due loss made late made payment,Non,possibly disconnection due loss made late made payment
Voice216,know remaning peak,Non,know remaning peak
Voice99,need clarification recent service still,Non,need clarification recent service still
Voice49,possibly disconnection due loss made late made payment,Non,possibly disconnection due loss made late made payment
Voice47,today payment get message regarding payment done usually pay come today,Non,today payment get message regarding payment done usually pay come today
voice33,regarding two one phone one fiber laid electrical stuck hanging electrical,Non,regarding two one phone one fiber laid electrical stuck hanging electrical
Voice50,connection disconnected got late payment today long take reactivate really urgent get connection back online exam,Non,connection disconnected got late payment today long take reactivate really urgent get connection back online exam
Voice52,want know whether router,Non,want know whether router
voice11,need breakdown charges,Non,need breakdown charges
Voice127,router connecting know reason connecting,Non,router connecting know reason connecting
Voice237,got line shifted shifted house colombo got telephone line working want know working,Non,got line shifted shifted house colombo got telephone line working want know working
Voice225,need receipt last,Non,need receipt last
Voice58,router connecting know reason connecting,Non,router connecting know reason connecting
Voice188,wish sign prepaid billing assist enrollment process provide details features,Non,wish sign prepaid billing assist enrollment process provide details features
Voice41,recently moved colombo update address changes needed billing information,Non,recently moved colombo update address changes needed billing information
Voice173,regarding two one phone one fiber laid electrical stuck hanging electrical,Non,regarding two one phone one fiber laid electrical stuck hanging electrical
Voice188,know current price fiber connection,Non,know current price fiber connection
Voice70,add,Non,add
Voice269,know overcharged last,Non,know overcharged last
Voice71,know amount pay month decemeber november,Non,know amount pay month decemeber november
Voice6,problem online payment trying morning says,Non,problem online payment trying morning says
Voice134,two slt connections name want disconnect one inform,Non,two slt connections name want disconnect one inform
Voice149,experience agent responded positively clarifications,Non,experience agent responded positively clarifications
Voice54,got message pay arrears october otherwise line disconnected tell amount,Non,got message pay arrears october otherwise line disconnected tell amount
Voice98,wifi connection peo stopped working since last send someone check,Non,wifi connection peo stopped working since last send someone check
Voice199,landline phone working,Non,landline phone working
Voice145,bill sent wrong,Non,bill sent wrong
Voice129,want know difference monthly charge payable,Non,want know difference monthly charge payable
Voice266,want increase increase thespeed upload fiber reconnect,Non,want increase increase thespeed upload fiber reconnect
 Voice101                      ,agent follow issue reported previous could kindly tell report,Non,agent follow issue reported previous could kindly tell report
Voice8,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice2,bill showing charges premium service,Non,bill showing charges premium service
Voice145,change packages anytime using,Non,change packages anytime using
Voice98,made complaints last still one attending resolved still noises internet,Non,made complaints last still one attending resolved still noises internet
 Voice101                      ,activate connection,Non,activate connection
Voice83,settled balance today still get confirmation know,Non,settled balance today still get confirmation know
Voice224,want know whether router,Non,want know whether router
Voice132,phone number billing date today tommorrow onwards need migrate unlimited day flash,Non,phone number billing date today tommorrow onwards need migrate unlimited day flash
Voice25,wifi need technical officer extremely,Non,wifi need technical officer extremely
Voice139,check oustanding balance number,Non,check oustanding balance number
Voice145,check tell balance,Non,check tell balance
voice11,made complaint regarding internet connection still get reply sideso please check whether,Non,made complaint regarding internet connection still get reply sideso please check whether
Voice108,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance,Non,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance
Voice73,landline working name,Non,landline working name
Voice157,give number tell,Non,give number tell
Voice17,details fiber,Non,details fiber
Voice44,remote buttons need fixed please help use remote without issues,Non,remote buttons need fixed please help use remote without issues
Voice19,interested internet provide details,Non,interested internet provide details
Voice132,phone got disconnected late resolve connection back,Non,phone got disconnected late resolve connection back
Voice249,need receipt last,Non,need receipt last
Voice127,observed increase seeking clarification additional,Non,observed increase seeking clarification additional
Voice116,received late payment paid check issue,Non,received late payment paid check issue
Voice188,billing portal displaying recent,Non,billing portal displaying recent
Voice269,made complaint regarding internet connection still get reply sideso please check whether,Non,made complaint regarding internet connection still get reply sideso please check whether
Voice178,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice78,got message pay arrears october otherwise line disconnected tell amount,Non,got message pay arrears october otherwise line disconnected tell amount
Voice203,want increase increase thespeed upload fiber reconnect,Non,want increase increase thespeed upload fiber reconnect
Voice188,wifi need technical officer extremely,Non,wifi need technical officer extremely
Voice226,agent follow issue reported previous could kindly tell report,Non,agent follow issue reported previous could kindly tell report
Voice8,want change address monthly bill sent,Non,want change address monthly bill sent
Voice163,today think lightning connection got technician check phone,Non,today think lightning connection got technician check phone
Voice134,already made complaint change name addresses,Non,already made complaint change name addresses
Voice212,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay,Non,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay
Voice98,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance,Non,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance
Voice114,interested internet provide details,Non,interested internet provide details
Voice134,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay,Non,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay
Voice233,problem help,Non,problem help
Voice17,already made complaint change name addresses,Non,already made complaint change name addresses
Voice5,know amount pay month decemeber november,Non,know amount pay month decemeber november
Voice216,activate meet max package know much data given also price charged package,Non,activate meet max package know much data given also price charged package
Voice7,receive bill,Non,receive bill
Voice1,want increase increase thespeed upload fiber reconnect,Non,want increase increase thespeed upload fiber reconnect
Voice2,want know whether charged dialing free whenever happen dial number charges made,Non,want know whether charged dialing free whenever happen dial number charges made
Voice5,check tell balance,Non,check tell balance
Voice6,want log complaint internet potv red color indicator appearing reason behind,Non,want log complaint internet potv red color indicator appearing reason behind
Voice7,would like add tell much used peak,Non,would like add tell much used peak
Voice8,los light blinking red color router got days back know reason number,Non,los light blinking red color router got days back know reason number
voice10,know much minimum pay get back connection back,Non,know much minimum pay get back connection back
voice11,want check available network seems slowed,Non,want check available network seems slowed
voice12,got line shifted shifted house colombo got telephone line working want know working,Non,got line shifted shifted house colombo got telephone line working want know working
voice14,regarding two one phone one fiber laid electrical stuck hanging electrical,Non,regarding two one phone one fiber laid electrical stuck hanging electrical
voice15,made complaint regarding internet connection still get reply sideso please check whether,Non,made complaint regarding internet connection still get reply sideso please check whether
Voice16,landline working name,Non,landline working name
Voice17,phone number billing date today tommorrow onwards need migrate unlimited day flash,Non,phone number billing date today tommorrow onwards need migrate unlimited day flash
Voice19,problem online payment trying morning says,Non,problem online payment trying morning says
Voice20,want check whether made router payment 9th november cause checked november bill payment got,Non,want check whether made router payment 9th november cause checked november bill payment got
Voice23,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay,Non,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay
Voice24,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice25,made complaints last still one attending resolved still noises internet,Non,made complaints last still one attending resolved still noises internet
Voice26,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone,Non,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone
Voice30,today payment get message regarding payment done usually pay come today,Non,today payment get message regarding payment done usually pay come today
Voice31,today think lightning connection got technician check phone,Non,today think lightning connection got technician check phone
Voice32,know much used also pricing,Non,know much used also pricing
voice33,please add,Non,please add
Voice34,problem connection two lights others power button working button mean light telephone line also connected router,Non,problem connection two lights others power button working button mean light telephone line also connected router
Voice38,bill showing charges service never check charges,Non,bill showing charges service never check charges
Voice40,check remaning amount day time,Non,check remaning amount day time
Voice41,problem help,Non,problem help
Voice44,technician issue still next,Non,technician issue still next
Voice 45,want shift another data package one using right enough request change package,Non,want shift another data package one using right enough request change package
Voice47,know overcharged last,Non,know overcharged last
Voice49,adsl connection upgrade fiber optic could please tell process,Non,adsl connection upgrade fiber optic could please tell process
Voice50,need clarification recent service still,Non,need clarification recent service still
Voice52,would like add also want upgarde internert package,Non,would like add also want upgarde internert package
Voice53,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice54,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
Voice55,observed increase seeking clarification additional,Non,observed increase seeking clarification additional
Voice58,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance,Non,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance
Voice59,wanted express concern recent service technician seemed unsure problem arrange another visit,Non,wanted express concern recent service technician seemed unsure problem arrange another visit
Voice62,internet connection using right really slow speed connection,Non,internet connection using right really slow speed connection
Voice64,settled balance usually get sms paid check resolve whether done payment,Non,settled balance usually get sms paid check resolve whether done payment
Voice66,phone got disconnected late resolve connection back,Non,phone got disconnected late resolve connection back
Voice68,check oustanding balance number,Non,check oustanding balance number
Voice70,activate meet max package know much data given also price charged package,Non,activate meet max package know much data given also price charged package
Voice71,interested internet provide details,Non,interested internet provide details
Voice73,recently moved colombo update address changes needed billing information,Non,recently moved colombo update address changes needed billing information
Voice75,noticed incorrect charge review correct need,Non,noticed incorrect charge review correct need
Voice77,connection disconnected got late payment today long take reactivate really urgent get connection back online exam,Non,connection disconnected got late payment today long take reactivate really urgent get connection back online exam
Voice78,activate connection,Non,activate connection
Voice80,know get physical bills anymore,Non,know get physical bills anymore
Voice83,remote buttons need fixed please help use remote without issues,Non,remote buttons need fixed please help use remote without issues
Voice84,wish sign prepaid billing assist enrollment process provide details features,Non,wish sign prepaid billing assist enrollment process provide details features
Voice87,facing difficulty accessing online billing could please assist solving issue,Non,facing difficulty accessing online billing could please assist solving issue
Voice88,problem help,Non,problem help
Voice90,bill showing charges premium service,Non,bill showing charges premium service
Voice95,received late payment paid check issue,Non,received late payment paid check issue
Voice98,know remaning peak,Non,know remaning peak
Voice99,landline phone working,Non,landline phone working
 Voice101                      ,need breakdown charges,Non,need breakdown charges
Voice104,bill sent wrong,Non,bill sent wrong
Voice105,router connecting know reason connecting,Non,router connecting know reason connecting
Voice108,internet speed much slower end increase speed,Non,internet speed much slower end increase speed
Voice111,receive bill,Non,receive bill
Voice114,much pay reactivate connection,Non,much pay reactivate connection
Voice116,two slt connections name want disconnect one inform,Non,two slt connections name want disconnect one inform
Voice117,interested fiber optic provide information packages offer,Non,interested fiber optic provide information packages offer
Voice119,checked payment bank receipt found router account number put additional digits may gone give,Non,checked payment bank receipt found router account number put additional digits may gone give
Voice120,made complaint regarding internet connection still get reply please check whether,Non,made complaint regarding internet connection still get reply please check whether
Voice121,get text message saying much due pay something like want get bill make,Non,get text message saying much due pay something like want get bill make
Voice126,got message pay arrears october otherwise line disconnected tell amount,Non,got message pay arrears october otherwise line disconnected tell amount
Voice127,want know difference monthly charge payable,Non,want know difference monthly charge payable
Voice129,want check home give number tell,Non,want check home give number tell
Voice131,number registered,Non,number registered
Voice132,give number tell,Non,give number tell
Voice134,want change using myslt,Non,want change using myslt
Voice139,want internet peo working long approximately,Non,want internet peo working long approximately
Voice142,get bill email regularly,Non,get bill email regularly
Voice145,billing portal displaying recent,Non,billing portal displaying recent
Voice149,need receipt last,Non,need receipt last
Voice155,add,Non,add
Voice157,agent follow issue reported previous could kindly tell report,Non,agent follow issue reported previous could kindly tell report
Voice159,noises coming internet,Non,noises coming internet
Voice160,get text message saying much due pay something like want get bill make,Non,get text message saying much due pay something like want get bill make
Voice162,need know payabale amount,Non,need know payabale amount
Voice163,indicated one light working earlier bulbs working one bulb working,Non,indicated one light working earlier bulbs working one bulb working
Voice165,get working,Non,get working
Voice173,stuck bad internet connection broken,Non,stuck bad internet connection broken
Voice178,experience agent responded positively clarifications,Non,experience agent responded positively clarifications
Voice188,already made complaint change name addresses,Non,already made complaint change name addresses
Voice189,phone technician check phone,Non,phone technician check phone
Voice190,wifi working technically check anything,Non,wifi working technically check anything
Voice199,line disconnected due arrears payment paid full reconnected line,Non,line disconnected due arrears payment paid full reconnected line
Voice201,change packages anytime using,Non,change packages anytime using
Voice202,possibly disconnection due loss made late made payment,Non,possibly disconnection due loss made late made payment
Voice203,want know whether router,Non,want know whether router
Voice204,always reconnect issue,Non,always reconnect issue
Voice208,really good services given slt maradana branch went got work done,Non,really good services given slt maradana branch went got work done
Voice212,waiting line since september almost bad customer get,Non,waiting line since september almost bad customer get
Voice216,peo sports channels,Non,peo sports channels
Voice223,know amount pay month decemeber november,Non,know amount pay month decemeber november
Voice224,sometimes get delay getting response,Non,sometimes get delay getting response
Voice225,actually today think lightning connection got,Non,actually today think lightning connection got
Voice226,internet slt tell,Non,internet slt tell
Voice232,details fiber,Non,details fiber
Voice233,wifi connection peo stopped working since last send someone check,Non,wifi connection peo stopped working since last send someone check
Voice237,settled balance today still get confirmation know,Non,settled balance today still get confirmation know
Voice238,loss signal blinking red lights,Non,loss signal blinking red lights
Voice240,wifi need technical officer extremely,Non,wifi need technical officer extremely
Voice243,could please give solution speedup wifi,Non,could please give solution speedup wifi
Voice245,want add data entertainmet,Non,want add data entertainmet
Voice246,poor signal months many occasions customer care resolved yet,Non,poor signal months many occasions customer care resolved yet
Voice249,light lights others,Non,light lights others
Voice265,able add number calling right,Non,able add number calling right
Voice266,know current price fiber connection,Non,know current price fiber connection
Voice269,want change address monthly bill sent,Non,want change address monthly bill sent
Voice1,want increase increase thespeed upload fiber reconnect,Non,want increase increase thespeed upload fiber reconnect
Voice2,want know whether charged dialing free whenever happen dial number charges made,Non,want know whether charged dialing free whenever happen dial number charges made
Voice5,check tell balance,Non,check tell balance
Voice206,promised callback complaint never really need take action matter right away,Agg,promised callback complaint never really need take action matter right away
Voice250,get really dissapointed network problem important zoom also answer long period use slt connections,Agg,get really dissapointed network problem important zoom also answer long period use slt connections
Voice22,switching provider values customers since service acceptable,Agg,switching provider values customers since service acceptable
Voice161,made router payment last week error fix soon possible face tolerate incompetence reconnect line,Agg,made router payment last week error fix soon possible face tolerate incompetence reconnect line
Voice191,calling reactivate requesting last three days still connected want raise complaint regional,Agg,calling reactivate requesting last three days still connected want raise complaint regional
Voice185,got fibre connection slt march soon got fixed router los started blinking made first complain march end since every single day calling slt 24th may even single technician contacted fix worse services called best telecommunication company sri lanka,Agg,got fibre connection slt march soon got fixed router los started blinking made first complain march end since every single day calling slt 24th may even single technician contacted fix worse services called best telecommunication company sri lanka
Voice97,made complaint today get calls guys technical issues working home need internet need get done urgently,Agg,made complaint today get calls guys technical issues working home need internet need get done urgently
Voice3,calling reactivate requesting last three days still connected want raise complaint regional,Agg,calling reactivate requesting last three days still connected want raise complaint regional
Voice67,1212 hotline takes ages answer got work cant holding phone forever,Agg,1212 hotline takes ages answer got work cant holding phone forever
Voice146,agent passed problem getting tired,Agg,agent passed problem getting tired
Voice214,received bill line canceled last make sure update system cancellation wont getting bills,Agg,received bill line canceled last make sure update system cancellation wont getting bills
Voice206,actually made complaint yellow know cable goes set box got made reported one attended travel company need attended extremely really dissappointed service,Agg,actually made complaint yellow know cable goes set box got made reported one attended travel company need attended extremely really dissappointed service
Voice92,internet painfully making work fix,Agg,internet painfully making work fix
Voice96,worst experience since days wifi really said repair going days still action bad service,Agg,worst experience since days wifi really said repair going days still action bad service
Voice182,tired support,Agg,tired support
Voice37,worst experience since days wifi really said repair going days still action bad service,Agg,worst experience since days wifi really said repair going days still action bad service
Voice65,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses,Agg,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses
Voice251,service worst service ever got,Agg,service worst service ever got
Voice242,terrible impossible contact via phone constantly keep rejecting getting connection disconnect forcing pay bills services longer require,Agg,terrible impossible contact via phone constantly keep rejecting getting connection disconnect forcing pay bills services longer require
Voice219,want make complain kiribathgoda workshop really upset disrespectful actions kiribathgoda workshop know handle customers respect,Agg,want make complain kiribathgoda workshop really upset disrespectful actions kiribathgoda workshop know handle customers respect
Voice106,staff enough provide good problems due system takes long time get even simple thing,Agg,staff enough provide good problems due system takes long time get even simple thing
Voice174,worst service returning slow internet speed transparency data peo connection also worst cable service provider ever,Agg,worst service returning slow internet speed transparency data peo connection also worst cable service provider ever
Voice161,takes forever get done simplest employees respect duty,Agg,takes forever get done simplest employees respect duty
Voice231,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys,Agg,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys
Voice 57,received bill line canceled last make sure update system cancellation wont getting bills,Agg,received bill line canceled last make sure update system cancellation wont getting bills
Voice94,slt used best service provider telecommunication robbing people unwanted subscription fees,Agg,slt used best service provider telecommunication robbing people unwanted subscription fees
Voice81,internet crippling immediate action level service tolerate,Agg,internet crippling immediate action level service tolerate
Voice74,promised callback complaint never really need take action matter right away,Agg,promised callback complaint never really need take action matter right away
Voice194,worst customer service never answer,Agg,worst customer service never answer
Voice112,first half time pick call cut phone calling,Agg,first half time pick call cut phone calling
Voice164,last time called agent said technical support sent place within nobody guys terrible believe bad service,Agg,last time called agent said technical support sent place within nobody guys terrible believe bad service
Voice230,sick garbage internet useless router fix patience,Agg,sick garbage internet useless router fix patience
Voice215,worst customer service never answer,Agg,worst customer service never answer
Voice196,weeks since mother requested detailed bill landline,Agg,weeks since mother requested detailed bill landline
Voice200,asking five days reactivate kandy branch office often picking even disconnecting need filing complaint,Agg,asking five days reactivate kandy branch office often picking even disconnecting need filing complaint
Voice214,absolute worst service encountered slt take money give headaches,Agg,absolute worst service encountered slt take money give headaches
Voice128,requesting fiber connection past even though location slt fulfill request,Agg,requesting fiber connection past even though location slt fulfill request
Voice9,staff enough provide good problems due system takes long time get even simple thing,Agg,staff enough provide good problems due system takes long time get even simple thing
Voice270,worst customer service never answer,Agg,worst customer service never answer
Voice124,takes forever get done simplest employees respect duty,Agg,takes forever get done simplest employees respect duty
Voice187,get someone knows finding different terrible put,Agg,get someone knows finding different terrible put
Voice235,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses,Agg,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses
Voice206,calling reactivate requesting last three days still connected want raise complaint regional,Agg,calling reactivate requesting last three days still connected want raise complaint regional
Voice192,call dropped repeatedly conversation fix lousy service,Agg,call dropped repeatedly conversation fix lousy service
Voice69,poor service telephone contact technical,Agg,poor service telephone contact technical
Voice130,experienced poor customer service first time slt reported router fault customer technician called didnt turn complaint closed resolving,Agg,experienced poor customer service first time slt reported router fault customer technician called didnt turn complaint closed resolving
Voice172,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses,Agg,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses
Voice206,line inactive matara office pick cut urgent complaint unacceptable,Agg,line inactive matara office pick cut urgent complaint unacceptable
Voice96,want disconnect slt line cause calling past days telling internet connection working none attended problem usless slt services,Agg,want disconnect slt line cause calling past days telling internet connection working none attended problem usless slt services
Voice262,customer care technical support takes service good though,Agg,customer care technical support takes service good though
Voice110,worst customer service people working call center careless absolutely unprofessional useless regional manager,Agg,worst customer service people working call center careless absolutely unprofessional useless regional manager
Voice35,service agents rude provide solutions inquiries,Agg,service agents rude provide solutions inquiries
Voice257,resolution previous complaint demand satisfactory solution incompetence disappointed,Agg,resolution previous complaint demand satisfactory solution incompetence disappointed
Voice74,made complaint regarding picture appearing making complain yesterday,Agg,made complaint regarding picture appearing making complain yesterday
Voice268,made router payment last week error fix soon possible face tolerate incompetence reconnect line,Agg,made router payment last week error fix soon possible face tolerate incompetence reconnect line
Voice91,two numbers getting physical get physical bill prefer getting physical bill rather getting people updated new,Agg,two numbers getting physical get physical bill prefer getting physical bill rather getting people updated new
Voice143,paid 6000 peo connection telephone line company provide connection,Agg,paid 6000 peo connection telephone line company provide connection
Voice219,really disappointed service nearly 2months requested fiber connection still,Agg,really disappointed service nearly 2months requested fiber connection still
Voice82,requesting fiber connection past even though location slt fulfill request,Agg,requesting fiber connection past even though location slt fulfill request
Voice39,phones waiting line transferred since february still waiting connect required,Agg,phones waiting line transferred since february still waiting connect required
Voice74,extremely slow internet terrible customer towards coupled poor technical support,Agg,extremely slow internet terrible customer towards coupled poor technical support
Voice177,worst customer service days internet called ask supervisors say call back finally got hold supervisor said leave,Agg,worst customer service days internet called ask supervisors say call back finally got hold supervisor said leave
Voice170,efficient informed remove internet connection call several times get removed,Agg,efficient informed remove internet connection call several times get removed
Voice22,loss signal blinking red lights los flashing red looked indoors happened hours ago paid blame better fix quickly,Agg,loss signal blinking red lights los flashing red looked indoors happened hours ago paid blame better fix quickly
Voice106,made complaint today get calls guys technical issues working home need internet need get done urgently,Agg,made complaint today get calls guys technical issues working home need internet need get done urgently
Voice169,got red lights router complaning action tolerate get act together restore service demand urgent resolution,Agg,got red lights router complaning action tolerate get act together restore service demand urgent resolution
Voice227,really disappointed service nearly 2months requested fiber connection still,Agg,really disappointed service nearly 2months requested fiber connection still
Voice175,takes forever get done simplest employees respect duty,Agg,takes forever get done simplest employees respect duty
Voice167,requesting fiber connection past even though location slt fulfill request,Agg,requesting fiber connection past even though location slt fulfill request
Voice191,call center agents takes ages answer phone call stay line think jobless people like,Agg,call center agents takes ages answer phone call stay line think jobless people like
Voice 63,promised callback complaint never really need take action matter right away,Agg,promised callback complaint never really need take action matter right away
Voice81,customer care technical support takes service good though,Agg,customer care technical support takes service good though
Voice148,words explain bad company issue router didnt access data througout time pay couldnt fix issue time dozen option else continue keep paying month data,Agg,words explain bad company issue router didnt access data througout time pay couldnt fix issue time dozen option else continue keep paying month data
Voice18,words explain bad company issue router didnt access data througout time pay couldnt fix issue time dozen option else continue keep paying month data,Agg,words explain bad company issue router didnt access data througout time pay couldnt fix issue time dozen option else continue keep paying month data
Voice89,poor customer quick service tele company talks technology always,Agg,poor customer quick service tele company talks technology always
Voice128,asking five days reactivate kandy branch office often picking even disconnecting need filing complaint,Agg,asking five days reactivate kandy branch office often picking even disconnecting need filing complaint
Voice171,switching provider values customers since service acceptable,Agg,switching provider values customers since service acceptable
