VoiceClip_No,TextTranscript,label,processed_content
Voice6,wish sign prepaid bill plan assist enrol process provid detail plan featur term,Non,wish sign prepaid bill plan assist enrol process provid detail plan featur term
Voice139,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
voice11,get bill email regularli problem,Non,get bill email regularli problem
Voice116,current adsl connect upgrad fiber optic connect could pleas tell process,Non,current adsl connect upgrad fiber optic connect could pleas tell process
Voice114,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay,Non,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay
Voice47,detail fiber connect,Non,detail fiber connect
Voice75,interest internet plan provid detail speed price instal,Non,interest internet plan provid detail speed price instal
Voice208,ye hello yesterday made complaint telephon rain big blackout came island wide powercut power cut router gone,Non,ye hello yesterday made complaint telephon rain big blackout came island wide powercut power cut router gone
Voice75,wifi need technic offic extrem urgent,Non,wifi need technic offic extrem urgent
Voice190,nois come telephon internet work,Non,nois come telephon internet work
Voice111,wifi work technic check anyth end,Non,wifi work technic check anyth end
Voice162,phone got disconnect late payment resolv connect back,Non,phone got disconnect late payment resolv connect back
Voice98,know overcharg last bill,Non,know overcharg last bill
Voice95,want express concern recent servic visit technician seem unsur issu problem persist arrang anoth visit,Non,want express concern recent servic visit technician seem unsur issu problem persist arrang anoth visit
Voice38,need receipt last payment,Non,need receipt last payment
Voice98,pleas add number,Non,pleas add number
Voice202,made complaint regard internet connect still get repli side pleas check whether statu,Non,made complaint regard internet connect still get repli side pleas check whether statu
Voice225,want chang packag use myslt app,Non,want chang packag use myslt app
Voice 45,problem onlin payment system tri morn say avail,Non,problem onlin payment system tri morn say avail
Voice243,face difficulti access onlin bill account could pleas assist solv issu,Non,face difficulti access onlin bill account could pleas assist solv issu
Voice189,receiv late payment notic paid check issu pleas,Non,receiv late payment notic paid check issu pleas
Voice98,made complaint regard internet connect still get repli sideso pleas check whether statu,Non,made complaint regard internet connect still get repli sideso pleas check whether statu
Voice83,check payment bank receipt found router account number put addit digit may gone give detail,Non,check payment bank receipt found router account number put addit digit may gone give detail
Voice121,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
Voice32,experienc issu internet servic work togeth troubleshoot resolv problem appreci assist ensur smooth connect thank help,Non,experienc issu internet servic work togeth troubleshoot resolv problem appreci assist ensur smooth connect thank help
voice10,two slt connect name want disconnect one inform,Non,two slt connect name want disconnect one inform
Voice269,check oustand balanc number,Non,check oustand balanc number
Voice34,internet connect use right realli slow speed connect,Non,internet connect use right realli slow speed connect
Voice38,want express concern recent servic visit technician seem unsur issu problem persist arrang anoth visit,Non,want express concern recent servic visit technician seem unsur issu problem persist arrang anoth visit
Voice30,receiv late payment notic paid check issu pleas,Non,receiv late payment notic paid check issu pleas
Voice87,much pay reactiv connect,Non,much pay reactiv connect
Voice145,work alway reconnect issu,Non,work alway reconnect issu
Voice188,loss signal blink red light router,Non,loss signal blink red light router
Voice64,chang packag anytim use app,Non,chang packag anytim use app
Voice44,internet connect use right realli slow speed connect,Non,internet connect use right realli slow speed connect
Voice189,want check home connect give number tell,Non,want check home connect give number tell
Voice25,want shift anoth data packag one use right enough request chang packag,Non,want shift anoth data packag one use right enough request chang packag
Voice199,receiv late payment notic paid check issu pleas,Non,receiv late payment notic paid check issu pleas
Voice178,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
Voice64,wish sign prepaid bill plan assist enrol process provid detail plan featur term,Non,wish sign prepaid bill plan assist enrol process provid detail plan featur term
Voice80,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay,Non,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay
Voice70,phone technician check phone connect,Non,phone technician check phone connect
Voice199,need breakdown charg bill,Non,need breakdown charg bill
Voice116,could pleas give solut speedup wifi speed,Non,could pleas give solut speedup wifi speed
Voice173,want log complaint internet potv work red color indic appear reason behind,Non,want log complaint internet potv work red color indic appear reason behind
Voice232,get bill email regularli problem,Non,get bill email regularli problem
Voice78,made complaint last day still one attend resolv still nois come internet work,Non,made complaint last day still one attend resolv still nois come internet work
voice12,agent follow issu report previou could kindli tell report,Non,agent follow issu report previou could kindli tell report
Voice66,know amount pay month decemeb novemb,Non,know amount pay month decemeb novemb
Voice173,know amount pay month decemeb novemb,Non,know amount pay month decemeb novemb
Voice120,want increas servic increas thespe upload download fiber connect okay connect reconnect everyth,Non,want increas servic increas thespe upload download fiber connect okay connect reconnect everyth
Voice6,would like add connect tell much use peak hour,Non,would like add connect tell much use peak hour
Voice64,number regist,Non,number regist
voice11,need breakdown charg bill,Non,need breakdown charg bill
Voice120,face difficulti access onlin bill account could pleas assist solv issu,Non,face difficulti access onlin bill account could pleas assist solv issu
Voice142,remot work button respond need fix soon problem pleas help use remot without issu,Non,remot work button respond need fix soon problem pleas help use remot without issu
Voice62,current adsl connect upgrad fiber optic connect could pleas tell process,Non,current adsl connect upgrad fiber optic connect could pleas tell process
Voice40,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment,Non,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment
Voice50,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment,Non,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment
Voice132,internet work slt fiber know tell wrong,Non,internet work slt fiber know tell wrong
Voice188,made complaint last day still one attend resolv still nois come internet work,Non,made complaint last day still one attend resolv still nois come internet work
voice11,could pleas give solut speedup wifi speed,Non,could pleas give solut speedup wifi speed
voice33,need breakdown charg bill,Non,need breakdown charg bill
Voice132,lo light blink red color router got day back well know reason number,Non,lo light blink red color router got day back well know reason number
Voice224,made complaint regard internet connect still get repli sideso pleas check whether statu,Non,made complaint regard internet connect still get repli sideso pleas check whether statu
Voice199,abl add number call right,Non,abl add number call right
Voice132,made complaint last day still one attend resolv still nois come internet work,Non,made complaint last day still one attend resolv still nois come internet work
voice11,settl balanc today still get confirm know reason,Non,settl balanc today still get confirm know reason
Voice111,made complaint regard internet connect still get repli sideso pleas check whether statu,Non,made complaint regard internet connect still get repli sideso pleas check whether statu
voice33,want chang address monthli bill sent,Non,want chang address monthli bill sent
voice15,nois come telephon internet work,Non,nois come telephon internet work
Voice17,bill sent wrong address,Non,bill sent wrong address
Voice41,phone technician check phone connect,Non,phone technician check phone connect
Voice117,check oustand balanc number,Non,check oustand balanc number
Voice64,internet work slt fiber know tell wrong,Non,internet work slt fiber know tell wrong
Voice119,notic incorrect charg bill review correct urgent need resolv,Non,notic incorrect charg bill review correct urgent need resolv
Voice105,give number tell outstand,Non,give number tell outstand
Voice111,got line shift shift hous colombo got telephon line work want know work,Non,got line shift shift hous colombo got telephon line work want know work
Voice245,phone got disconnect late payment resolv connect back,Non,phone got disconnect late payment resolv connect back
Voice2,face difficulti access onlin bill account could pleas assist solv issu,Non,face difficulti access onlin bill account could pleas assist solv issu
Voice25,number regist,Non,number regist
 Voice101                      ,made complaint last day still one attend resolv still nois come internet work,Non,made complaint last day still one attend resolv still nois come internet work
Voice78,want voic internet peo work properli long approxim take,Non,want voic internet peo work properli long approxim take
Voice149,peo sport channel work,Non,peo sport channel work
Voice232,line disconnect due arrear payment paid full amount reconnect line,Non,line disconnect due arrear payment paid full amount reconnect line
Voice8,want chang address monthli bill sent,Non,want chang address monthli bill sent
Voice55,wish sign prepaid bill plan assist enrol process provid detail plan featur term,Non,wish sign prepaid bill plan assist enrol process provid detail plan featur term
Voice99,wifi need technic offic extrem urgent,Non,wifi need technic offic extrem urgent
Voice58,nois come telephon internet work,Non,nois come telephon internet work
voice10,want check avail network seem slow moment,Non,want check avail network seem slow moment
Voice104,would like add also want upgard internert packag,Non,would like add also want upgard internert packag
Voice233,got line shift shift hous colombo got telephon line work want know work,Non,got line shift shift hous colombo got telephon line work want know work
Voice189,detail fiber connect,Non,detail fiber connect
Voice204,need clarif recent payment servic still,Non,need clarif recent payment servic still
Voice16,internet connect use right realli slow speed connect,Non,internet connect use right realli slow speed connect
Voice26,remot work button respond need fix soon problem pleas help use remot without issu,Non,remot work button respond need fix soon problem pleas help use remot without issu
Voice216,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
Voice240,possibl disconnect due loss payment made late payment made payment yesterday,Non,possibl disconnect due loss payment made late payment made payment yesterday
Voice216,regard connect two thing one phone noisi one fiber connect laid electr line stuck hang electr line,Non,regard connect two thing one phone noisi one fiber connect laid electr line stuck hang electr line
Voice119,technician visit issu still next,Non,technician visit issu still next
Voice1,want increas servic increas thespe upload download fiber connect okay connect reconnect everyth,Non,want increas servic increas thespe upload download fiber connect okay connect reconnect everyth
Voice2,want know whether charg dial 12it free charg whenev happen dial number charg made telecom,Non,want know whether charg dial 12it free charg whenev happen dial number charg made telecom
Voice5,check tell balanc,Non,check tell balanc
Voice6,want log complaint internet potv work red color indic appear reason behind,Non,want log complaint internet potv work red color indic appear reason behind
Voice7,would like add connect tell much use peak hour,Non,would like add connect tell much use peak hour
Voice8,lo light blink red color router got day back well know reason number,Non,lo light blink red color router got day back well know reason number
voice10,know much minimum pay get back connect back,Non,know much minimum pay get back connect back
voice11,want check avail network seem slow moment,Non,want check avail network seem slow moment
voice12,got line shift shift hous colombo got telephon line work want know work,Non,got line shift shift hous colombo got telephon line work want know work
voice14,regard connect two thing one phone noisi one fiber connect laid electr line stuck hang electr line,Non,regard connect two thing one phone noisi one fiber connect laid electr line stuck hang electr line
voice15,made complaint regard internet connect still get repli sideso pleas check whether statu,Non,made complaint regard internet connect still get repli sideso pleas check whether statu
Voice16,hello landlin work name rajagop,Non,hello landlin work name rajagop
Voice17,phone number bill date today tommorrow onward need migrat unlimit day flash packag,Non,phone number bill date today tommorrow onward need migrat unlimit day flash packag
Voice19,problem onlin payment system tri morn say avail,Non,problem onlin payment system tri morn say avail
Voice20,want check whether made router payment 9th novemb caus check novemb bill payment got credit,Non,want check whether made router payment 9th novemb caus check novemb bill payment got credit
Voice23,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay,Non,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay
Voice24,yeah router lo bar blink red right need make high prioriti busi shop anyth without internet connect,Non,yeah router lo bar blink red right need make high prioriti busi shop anyth without internet connect
Voice25,made complaint last day still one attend resolv still nois come internet work,Non,made complaint last day still one attend resolv still nois come internet work
Voice26,ye hello yesterday made complaint telephon rain big blackout came island wide powercut power cut router gone,Non,ye hello yesterday made complaint telephon rain big blackout came island wide powercut power cut router gone
Voice30,today payment get messag regard payment done usual pay come sm today come call,Non,today payment get messag regard payment done usual pay come sm today come call
Voice31,today morn think lightn rain connect got lost technician check phone connect,Non,today morn think lightn rain connect got lost technician check phone connect
Voice32,know much use month also price cost,Non,know much use month also price cost
voice33,pleas add number,Non,pleas add number
Voice34,problem connect two light other work power button work button work mean light telephon line also connect router,Non,problem connect two light other work power button work button work mean light telephon line also connect router
Voice38,bill show charg servic never check charg,Non,bill show charg servic never check charg
Voice40,check reman amount day time,Non,check reman amount day time
Voice41,problem bill help understand,Non,problem bill help understand
Voice44,technician visit issu still next,Non,technician visit issu still next
Voice 45,want shift anoth data packag one use right enough request chang packag,Non,want shift anoth data packag one use right enough request chang packag
Voice47,know overcharg last bill,Non,know overcharg last bill
Voice49,current adsl connect upgrad fiber optic connect could pleas tell process,Non,current adsl connect upgrad fiber optic connect could pleas tell process
Voice50,need clarif recent payment servic still,Non,need clarif recent payment servic still
Voice52,would like add also want upgard internert packag,Non,would like add also want upgard internert packag
Voice53,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice54,experienc issu internet servic work togeth troubleshoot resolv problem appreci assist ensur smooth connect thank help,Non,experienc issu internet servic work togeth troubleshoot resolv problem appreci assist ensur smooth connect thank help
Voice55,observ increas bill seek clarif addit charg,Non,observ increas bill seek clarif addit charg
Voice58,want share posit experi one agent incred help patient address concern effici pleas pass gratitud excel assist,Non,want share posit experi one agent incred help patient address concern effici pleas pass gratitud excel assist
Voice59,want express concern recent servic visit technician seem unsur issu problem persist arrang anoth visit,Non,want express concern recent servic visit technician seem unsur issu problem persist arrang anoth visit
Voice62,internet connect use right realli slow speed connect,Non,internet connect use right realli slow speed connect
Voice64,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment,Non,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment
Voice66,phone got disconnect late payment resolv connect back,Non,phone got disconnect late payment resolv connect back
Voice68,check oustand balanc number,Non,check oustand balanc number
Voice70,activ meet max packag know much data given packag also price charg packag,Non,activ meet max packag know much data given packag also price charg packag
Voice71,interest internet plan provid detail speed price instal,Non,interest internet plan provid detail speed price instal
Voice73,recent move colombo updat address file also chang need bill inform,Non,recent move colombo updat address file also chang need bill inform
Voice75,notic incorrect charg bill review correct urgent need resolv,Non,notic incorrect charg bill review correct urgent need resolv
Voice77,connect disconnect got late payment today long take reactiv realli urgent get connect back onlin exam,Non,connect disconnect got late payment today long take reactiv realli urgent get connect back onlin exam
Voice78,activ connect,Non,activ connect
Voice80,know get physic bill anymor,Non,know get physic bill anymor
Voice83,remot work button respond need fix soon problem pleas help use remot without issu,Non,remot work button respond need fix soon problem pleas help use remot without issu
Voice84,wish sign prepaid bill plan assist enrol process provid detail plan featur term,Non,wish sign prepaid bill plan assist enrol process provid detail plan featur term
Voice87,face difficulti access onlin bill account could pleas assist solv issu,Non,face difficulti access onlin bill account could pleas assist solv issu
Voice88,problem bill help understand,Non,problem bill help understand
Voice90,bill show charg premium servic cancel,Non,bill show charg premium servic cancel
Voice95,receiv late payment notic paid check issu pleas,Non,receiv late payment notic paid check issu pleas
Voice98,know reman peak time,Non,know reman peak time
Voice99,landlin phone work storm,Non,landlin phone work storm
 Voice101                      ,need breakdown charg bill,Non,need breakdown charg bill
Voice104,bill sent wrong address,Non,bill sent wrong address
Voice105,router connect know reason connect,Non,router connect know reason connect
Voice108,internet speed much slower end increas speed connect,Non,internet speed much slower end increas speed connect
Voice111,receiv bill month,Non,receiv bill month
Voice114,much pay reactiv connect,Non,much pay reactiv connect
Voice116,two slt connect name want disconnect one inform,Non,two slt connect name want disconnect one inform
Voice117,hello interest fiber optic servic provid inform packag offer connect,Non,hello interest fiber optic servic provid inform packag offer connect
Voice119,check payment bank receipt found router account number put addit digit may gone give detail,Non,check payment bank receipt found router account number put addit digit may gone give detail
Voice120,made complaint regard internet connect still get repli side pleas check whether statu,Non,made complaint regard internet connect still get repli side pleas check whether statu
Voice121,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
Voice126,got messag pay arrear octob otherwis line disconnect tell amount octob,Non,got messag pay arrear octob otherwis line disconnect tell amount octob
Voice127,want know differ monthli charg payabl charg,Non,want know differ monthli charg payabl charg
Voice129,want check home connect give number tell,Non,want check home connect give number tell
Voice131,number regist,Non,number regist
Voice132,give number tell outstand,Non,give number tell outstand
Voice134,want chang packag use myslt app,Non,want chang packag use myslt app
Voice139,want voic internet peo work properli long approxim take,Non,want voic internet peo work properli long approxim take
Voice142,get bill email regularli problem,Non,get bill email regularli problem
Voice145,bill portal display recent transact,Non,bill portal display recent transact
Voice149,need receipt last payment,Non,need receipt last payment
Voice155,add connect,Non,add connect
Voice157,agent follow issu report previou could kindli tell report,Non,agent follow issu report previou could kindli tell report
Voice159,nois come telephon internet work,Non,nois come telephon internet work
Voice160,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
Voice162,need know payabal amount connect,Non,need know payabal amount connect
Voice163,indic one light work router earlier bulb work one bulb work,Non,indic one light work router earlier bulb work one bulb work
Voice165,get work,Non,get work
Voice173,stuck bad internet connect broken router,Non,stuck bad internet connect broken router
Voice178,experi good agent respond posit clarif,Non,experi good agent respond posit clarif
Voice188,alreadi made complaint chang name address nic,Non,alreadi made complaint chang name address nic
Voice189,phone technician check phone connect,Non,phone technician check phone connect
Voice190,wifi work technic check anyth end,Non,wifi work technic check anyth end
Voice199,line disconnect due arrear payment paid full amount reconnect line,Non,line disconnect due arrear payment paid full amount reconnect line
Voice201,chang packag anytim use app,Non,chang packag anytim use app
Voice202,possibl disconnect due loss payment made late payment made payment yesterday,Non,possibl disconnect due loss payment made late payment made payment yesterday
Voice203,want know whether router model,Non,want know whether router model
Voice204,work alway reconnect issu,Non,work alway reconnect issu
Voice208,realli good servic given slt maradana branch went got work done quickli,Non,realli good servic given slt maradana branch went got work done quickli
Voice212,wait line sinc septemb almost month bad custom servic get connect,Non,wait line sinc septemb almost month bad custom servic get connect
Voice216,peo sport channel work,Non,peo sport channel work
Voice223,know amount pay month decemeb novemb,Non,know amount pay month decemeb novemb
Voice224,sometim get delay get respons offic,Non,sometim get delay get respons offic
Voice225,actual today morn think lightn rain connect got lost,Non,actual today morn think lightn rain connect got lost
Voice226,internet work slt fiber know tell wrong,Non,internet work slt fiber know tell wrong
Voice232,detail fiber connect,Non,detail fiber connect
Voice233,wifi connect peo stop work sinc last send someon check problem,Non,wifi connect peo stop work sinc last send someon check problem
Voice237,settl balanc today still get confirm know reason,Non,settl balanc today still get confirm know reason
Voice238,loss signal blink red light router,Non,loss signal blink red light router
Voice240,wifi need technic offic extrem urgent,Non,wifi need technic offic extrem urgent
Voice243,could pleas give solut speedup wifi speed,Non,could pleas give solut speedup wifi speed
Voice245,want add data entertainmet combo,Non,want add data entertainmet combo
Voice246,poor signal month inform mani occas custom care resolv yet,Non,poor signal month inform mani occas custom care resolv yet
Voice249,light light light light other light,Non,light light light light other light
Voice265,abl add number call right,Non,abl add number call right
Voice266,know current price fiber connect,Non,know current price fiber connect
Voice269,want chang address monthli bill sent,Non,want chang address monthli bill sent
Voice1,want increas servic increas thespe upload download fiber connect okay connect reconnect everyth,Non,want increas servic increas thespe upload download fiber connect okay connect reconnect everyth
Voice2,want know whether charg dial 12it free charg whenev happen dial number charg made telecom,Non,want know whether charg dial 12it free charg whenev happen dial number charg made telecom
Voice5,check tell balanc,Non,check tell balanc
Voice264,agent provid clear instruct submit requir document get new fiber assign person know process need connect urgent,Agg,agent provid clear instruct submit requir document get new fiber assign person know process need connect urgent
Voice268,servic provid wors govern offic internet break regularli technic team work 9am 5pm issu time 5pm wait whole day get resolv,Agg,servic provid wors govern offic internet break regularli technic team work 9am 5pm issu time 5pm wait whole day get resolv
Voice209,worst telephon servic whole world call landlin get aw sri lankan music play wast time money caller pleas sell useless compani india shut shop,Agg,worst telephon servic whole world call landlin get aw sri lankan music play wast time money caller pleas sell useless compani india shut shop
Voice197,week sinc mother request detail bill landlin,Agg,week sinc mother request detail bill landlin
Voice94,worst custom servic provid agent call contact number agent kott branch given maharagama branch make compliant sinc respons refund request made 21st novemb 2023 today 8th januari 2024 inform made request refund still sort,Agg,worst custom servic provid agent call contact number agent kott branch given maharagama branch make compliant sinc respons refund request made 21st novemb 2023 today 8th januari 2024 inform made request refund still sort
Voice106,worst custom servic ever never answer call trash,Agg,worst custom servic ever never answer call trash
Voice197,call center agent take age answer phone call stay line think jobless peopl like guy,Agg,call center agent take age answer phone call stay line think jobless peopl like guy
Voice206,experienc poor custom servic first time slt week report router fault custom care technician call didnt turn complaint close resolv issu,Agg,experienc poor custom servic first time slt week report router fault custom care technician call didnt turn complaint close resolv issu
Voice234,get someon know find differ servic terribl servic put,Agg,get someon know find differ servic terribl servic put
Voice156,worst custom servic provid agent call contact number agent kott branch given maharagama branch make compliant sinc respons refund request made 21st novemb 2023 today 8th januari 2024 inform made request refund still sort,Agg,worst custom servic provid agent call contact number agent kott branch given maharagama branch make compliant sinc respons refund request made 21st novemb 2023 today 8th januari 2024 inform made request refund still sort
Voice72,got red light router complan slt action toler delay get act togeth restor servic immedi unaccept demand urgent resolut,Agg,got red light router complan slt action toler delay get act togeth restor servic immedi unaccept demand urgent resolut
Voice209,patienc run internet outag everi week pay frustrat servic toler longer realli disappoint servic,Agg,patienc run internet outag everi week pay frustrat servic toler longer realli disappoint servic
Voice210,bullshit talk paid yesterday say payment,Agg,bullshit talk paid yesterday say payment
Voice133,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom,Agg,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom
Voice207,custom servic agent rude unhelp,Agg,custom servic agent rude unhelp
Voice125,hard time reach depart use given contact answer phone call take hope understand import reachabl,Agg,hard time reach depart use given contact answer phone call take hope understand import reachabl
Voice259,worst servic custom care unit even listen complaint wast time,Agg,worst servic custom care unit even listen complaint wast time
Voice231,request data plan chang agent mishandl frustrat ensur staff process request accur,Agg,request data plan chang agent mishandl frustrat ensur staff process request accur
Voice43,switch provid valu custom sinc servic accept,Agg,switch provid valu custom sinc servic accept
Voice247,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom,Agg,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom
Voice96,channel blurri unclear annoy fix soon watch without problem,Agg,channel blurri unclear annoy fix soon watch without problem
Voice154,order new connect maradana branch day sinc promis deliveri date work time answer phone call rude unprofession useless custom care servic,Agg,order new connect maradana branch day sinc promis deliveri date work time answer phone call rude unprofession useless custom care servic
Voice137,singl day went without issu obtain new fiber connect guy usual call ten hundr time get technic team come fix issu youn take idiot contact call center,Agg,singl day went without issu obtain new fiber connect guy usual call ten hundr time get technic team come fix issu youn take idiot contact call center
Voice125,order new connect maradana branch day sinc promis deliveri date work time answer phone call rude unprofession useless custom care servic,Agg,order new connect maradana branch day sinc promis deliveri date work time answer phone call rude unprofession useless custom care servic
Voice100,1212 hotlin endless loop frustrat drive crazi,Agg,1212 hotlin endless loop frustrat drive crazi
Voice21,two number get physic get physic bill anymor prefer get physic bill rather get email peopl updat new technolog,Agg,two number get physic get physic bill anymor prefer get physic bill rather get email peopl updat new technolog
Voice183,got red light router complan slt action toler delay get act togeth restor servic immedi unaccept demand urgent resolut,Agg,got red light router complan slt action toler delay get act togeth restor servic immedi unaccept demand urgent resolut
Voice144,fed unreli servic bill error cancel servic,Agg,fed unreli servic bill error cancel servic
Voice76,worst custom servic ever encount hotlin number alway work,Agg,worst custom servic ever encount hotlin number alway work
Voice100,agent talk back beyond unaccept,Agg,agent talk back beyond unaccept
Voice256,call guy charg subscript guy suppos flat rate 3000 per month reason seeinng 6400 bill month know what go realli need explan,Agg,call guy charg subscript guy suppos flat rate 3000 per month reason seeinng 6400 bill month know what go realli need explan
Voice76,made complain regard fiber connction last week call past three day anyth problem,Agg,made complain regard fiber connction last week call past three day anyth problem
Voice97,worst custom servic day internet phone call ask supervisor say busi call back final got hold supervisor said leav,Agg,worst custom servic day internet phone call ask supervisor say busi call back final got hold supervisor said leav
Voice92,poor slow websit work much patient want pay bill onlin alway ask tri disrecommend tri get newer connect slt,Agg,poor slow websit work much patient want pay bill onlin alway ask tri disrecommend tri get newer connect slt
Voice29,call provid number say wrong number updat contact detail,Agg,call provid number say wrong number updat contact detail
Voice181,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint,Agg,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint
Voice147,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint,Agg,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint
